,,,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,Text,,,,,,Integer,Integer,Integer,Integer,Integer,Date,Date,Date,Date,Date,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Date ,Percentage Number,Percentage Number,Percentage Number,Percentage Number,Percentage Number,Date ,Date ,Date ,Date ,Percentage Number,Percentage Number,Percentage Number,Percentage Number,Percentage Number,Percentage Number,Link,Link,Link,Link,Link,Link,Link
AstraZeneca,AstraZeneca,ST00239,SP00003,"A Study to Assess the Safety, Efficacy and Tolerability of AZD8233 Treatment in Participants With Hyperlipidaemia",,SOLANO,Hyperlipidaemia,,Metabolic,,,,,,Industry,Recruiting,Not Applicable,Interventional,,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",,,,,,Drug B,,,,,,,,,,,,,,,,,,,Perter K,Beulah N,Lilla Stilson �,Frank T,Lyman W,Jeanene Y,Gertrudis T,Marcelina X,Mee M,Selizabeth F,Corrine U,Patria R,Marcelina X,Marcelina X,Gertrudis T,Doreen T,Mee M,John G,Chetan K,,,"Research Site, Huntsville, Alabama, United States|Research Site, Canoga Park, California, United States|Research Site, Lincoln, California, United States|Research Site, Colorado Springs, Colorado, United States|Research Site, Inverness, Florida, United States|Research Site, Jacksonville, Florida, United States|Research Site, Pembroke Pines, Florida, United States|Research Site, Columbus, Georgia, United States|Research Site, Stockbridge, Georgia, United States|Research Site, Meridian, Idaho, United States|Research Site, Indianapolis, Indiana, United States|Research Site, New Windsor, New York, United States|Research Site, Greensboro, North Carolina, United States|Research Site, Fargo, North Dakota, United States|Research Site, Cincinnati, Ohio, United States|Research Site, Cincinnati, Ohio, United States|Research Site, Stow, Ohio, United States|Research Site, Medford, Oregon, United States|Research Site, Mount Pleasant, South Carolina, United States|Research Site, Memphis, Tennessee, United States|Research Site, Roanoke, Virginia, United States|Research Site, Suffolk, Virginia, United States|Research Site, Benesov, Czechia|Research Site, Brandys nad Labem, Czechia|Research Site, Brno, Czechia|Research Site, Jaromer, Czechia|Research Site, Liberec 2, Czechia|Research Site, Louny, Czechia|Research Site, Ostrava-Dubina, Czechia|Research Site, Pribram, Czechia|Research Site, Teplice, Czechia|Research Site, Uherske Hradiste, Czechia|Research Site, Aarhus N, Denmark|Research Site, Herlev, Denmark|Research Site, Herning, Denmark|Research Site, Hvidovre, Denmark|Research Site, København NV, Denmark|Research Site, Roskilde, Denmark|Research Site, Svendborg, Denmark|Research Site, Viborg, Denmark|Research Site, Balatonfüred, Hungary|Research Site, Budapest, Hungary|Research Site, Budapest, Hungary|Research Site, Békéscsaba, Hungary|Research Site, Debrecen, Hungary|Research Site, Orosháza, Hungary|Research Site, Szeged, Hungary|Research Site, Amsterdam, Netherlands|Research Site, Doetinchem, Netherlands|Research Site, Ede, Netherlands|Research Site, Gouda, Netherlands|Research Site, Harderwijk, Netherlands|Research Site, Rotterdam, Netherlands|Research Site, Tilburg, Netherlands|Research Site, Bydgoszcz, Poland|Research Site, Chrzanów, Poland|Research Site, Katowice, Poland|Research Site, Kraków, Poland|Research Site, Puławy, Poland|Research Site, Ruda Śląska, Poland|Research Site, Tarnów, Poland|Research Site, Tychy, Poland|Research Site, Wierzchosławice, Poland|Research Site, Łódź, Poland|Research Site, Bratislava, Slovakia|Research Site, Brezno, Slovakia|Research Site, Lucenec, Slovakia|Research Site, Presov, Slovakia|Research Site, Roznava, Slovakia|Research Site, Svidnik, Slovakia|Research Site, Trebišov, Slovakia|Research Site, Ferrol, Spain|Research Site, L'Hospitalet de Llobregat, Spain|Research Site, La Coruña, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Santiago de Compostela, Spain|Research Site, Sevilla, Spain|Research Site, Sevilla, Spain|Research Site, Zaragoza, Spain",18.53976176,16.68578558,All,"18 Years and older   (Adult, Older Adult)",153,148,141,72,60,9,12/29/2018,7/21/2019,5/23/2019,7/4/2019,5/24/2019,6/16/2019,6/24/2019,6/28/2019,7/16/2019,8/25/2021,9/30/2021,3/7/2022,7/8/2022,8/27/2022,10/24/2022,12/15/2022,2/6/2023,3/12/2023,4/24/2023,12/13/2019,6/10/2020,12/7/2020,6/5/2021,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT04964557,,,,,,
AstraZeneca,AstraZeneca,ST00245,SP00003,HRR Prevalence in LatAm PROSPECT Study,,PROSPECT,Castration-resistant Prostate Cancer,,Oncology,,,,,,Industry,Recruiting,Phase 2,Observational,,Observational Model: Other|Time Perspective: Retrospective,,,,,,Drug D,,,,,,,,,,,,,,,,,,,Lyman W,Naren G,Mac L,Hee Y,Patria R,Christian G,Perter K,Lyman W,Suzie K,Gertrudis T,Selizabeth F,Suk T,Dinah R,Frank T,Quentin N,Jaquelyn H,Dalton E,Naren G,Federico L,,,"Research Site, Ciudad Autónoma de Buenos Aires, Argentina|Research Site, Rosario, Argentina|Research Site, Porto Alegre, Brazil|Research Site, Rio de Janeiro, Brazil|Research Site, São Paulo, Brazil|Research Site, Bogotá, Colombia|Research Site, San José, Costa Rica|Research Site, Ciudad de México, Mexico DF, Mexico|Research Site, Ciudad de México, Mexico|Research Site, Panamá, Panama|Research Site, Lima, Peru",5.470699694,4.923629725,Male,18 Years to 40 Years   (Adult),158,151,142,101,22,19,6/22/2019,12/11/2019,10/27/2019,11/10/2019,10/11/2019,11/1/2019,11/6/2019,11/9/2019,11/21/2019,2/27/2021,7/12/2021,11/19/2021,1/31/2022,3/18/2022,5/11/2022,6/17/2022,8/15/2022,9/19/2022,10/25/2022,4/29/2020,10/26/2020,4/24/2021,10/21/2021,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT04962880,,,,,,
AstraZeneca,AstraZeneca,ST00251,SP00003,"Treatment Combination of Durvalumab, Tremelimumab and Enfortumab Vedotin or Durvalumab and Enfortumab Vedotin in Patients With Muscle Invasive Bladder Cancer Ineligible to Cisplatin",,VOLGA,Muscle Invasive Bladder Cancer,,Oncology,,,,,,Industry,Recruiting,Not Applicable,Interventional,,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,,,,,,Drug B,,,,,,,,,,,,,,,,,,,Chetan K,Clarice N,Terrell p,Lilla Stilson �,Suk T,Anthony P,Quentin N,Patria R,Naren G,Beulah N,Naren G,Hee Y,Tiffiny K,Aleta H,Naren G,Selizabeth F,Selizabeth F,Selizabeth F,Naren G,,,"Research Site, Orange, California, United States|Research Site, Santa Monica, California, United States|Research Site, Colorado Springs, Colorado, United States|Research Site, Coeur d'Alene, Idaho, United States|Research Site, Detroit, Michigan, United States|Research Site, Las Vegas, Nevada, United States|Research Site, Brooklyn, New York, United States|Research Site, Buffalo, New York, United States|Research Site, Syracuse, New York, United States|Research Site, Cincinnati, Ohio, United States|Research Site, Portland, Oregon, United States|Research Site, Hershey, Pennsylvania, United States|Research Site, Nashville, Tennessee, United States|Research Site, Fort Worth, Texas, United States|Research Site, Irving, Texas, United States|Research Site, Norfolk, Virginia, United States|Research Site, Tacoma, Washington, United States|Research Site, Berazategui, Argentina|Research Site, Buenos Aires, Argentina|Research Site, Caba, Argentina|Research Site, Caba, Argentina|Research Site, Ciudad Autónoma Buenos Aires, Argentina|Research Site, Ciudad de Buenos Aires, Argentina|Research Site, Pergamino, Argentina|Research Site, Pilar, Argentina|Research Site, Rosario, Argentina|Research Site, Graz, Austria|Research Site, Krems, Austria|Research Site, Linz, Austria|Research Site, Salzburg, Austria|Research Site, Wiener Neustadt, Austria|Research Site, Wien, Austria|Research Site, Wien, Austria|Research Site, Wien, Austria|Research Site, Barretos, Brazil|Research Site, Curitiba, Brazil|Research Site, Fortaleza, Brazil|Research Site, Porto Alegre, Brazil|Research Site, Porto Alegre, Brazil|Research Site, Porto Alegre, Brazil|Research Site, Rio de Janeiro, Brazil|Research Site, Santa Maria, Brazil|Research Site, Santo André, Brazil|Research Site, Sao Paulo, Brazil|Research Site, Sao Paulo, Brazil|Research Site, Săo Paulo, Brazil|Research Site, Uberlândia, Brazil|Research Site, Hamilton, Ontario, Canada|Research Site, Toronto, Ontario, Canada|Research Site, Toronto, Ontario, Canada|Research Site, Santiago, Chile|Research Site, Santiago, Chile|Research Site, Barranquilla, Colombia|Research Site, Medellin, Colombia|Research Site, Amiens, France|Research Site, Bordeaux Cedex, France|Research Site, Clermont Ferrand, France|Research Site, Lille, France|Research Site, Lyon, France|Research Site, Marseille CEDEX, France|Research Site, Marseille, France|Research Site, Montpellier, France|Research Site, Nice, France|Research Site, Quint-Fonsegrives, France|Research Site, Rennes, France|Research Site, Strasbourg, France|Research Site, Suresnes, France|Research Site, Vandoeuvre les Nancy, France|Research Site, Bielefeld, Germany|Research Site, Bochum, Germany|Research Site, Düsseldorf, Germany|Research Site, Frankfurt am Main, Germany|Research Site, Giessen, Germany|Research Site, Hannover, Germany|Research Site, Hannover, Germany|Research Site, Köln, Germany|Research Site, Magdeburg, Germany|Research Site, Mainz, Germany|Research Site, Mannheim, Germany|Research Site, Muenchen, Germany|Research Site, Münster, Germany|Research Site, Regensburg, Germany|Research Site, Reutlingen, Germany|Research Site, Ulm, Germany|Research Site, Athens, Greece|Research Site, Athens, Greece|Research Site, Heraklion, Greece|Research Site, Sheffield, Greece|Research Site, Hadera, Israel|Research Site, Haifa, Israel|Research Site, Holon, Israel|Research Site, Jerusalem, Israel|Research Site, Tel Aviv, Israel|Research Site, Aviano, Italy|Research Site, Bari, Italy|Research Site, Firenze, Italy|Research Site, Meldola, Italy|Research Site, Milano, Italy|Research Site, Milan, Italy|Research Site, Napoli, Italy|Research Site, Pozzuoli, Italy|Research Site, Reggio Emilia, Italy|Research Site, Roma, Italy|Research Site, Roma, Italy|Research Site, Terni, Italy|Research Site, Tricase (Lecce), Italy|Research Site, Verona, Italy|Research Site, Bunkyo-ku, Japan|Research Site, Fukuoka-shi, Japan|Research Site, Hamamatsu-shi, Japan|Research Site, Hirosaki-shi, Japan|Research Site, Ichikawa-shi, Japan|Research Site, Kanazawa-shi, Japan|Research Site, Kita-gun, Japan|Research Site, Kobe-shi, Japan|Research Site, Kumamoto-shi, Japan|Research Site, Matsuyama-shi, Japan|Research Site, Miyazaki-shi, Japan|Research Site, Okayama-shi, Japan|Research Site, Osaka-shi, Japan|Research Site, Osaka-shi, Japan|Research Site, Osakasayama-shi, Japan|Research Site, Shinjuku-ku, Japan|Research Site, Toyama-shi, Japan|Research Site, Tsukuba-shi, Japan|Research Site, Yokohama-shi, Japan|Research Site, Busan, Korea, Republic of|Research Site, Goyang-si, Korea, Republic of|Research Site, Incheon, Korea, Republic of|Research Site, Seodaemun-gu, Korea, Republic of|Research Site, Seongnam-si, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Colima, Mexico|Research Site, Monterrey, Mexico|Research Site, Monterrey, Mexico|Research Site, Tlalpan, Mexico|Research Site, Arnhem, Netherlands|Research Site, Breda, Netherlands|Research Site, Groningen, Netherlands|Research Site, Hilversum, Netherlands|Research Site, Hoofddorp, Netherlands|Research Site, Leiden, Netherlands|Research Site, Nijmegen, Netherlands|Research Site, Utrecht, Netherlands|Research Site, Skórzewo, Poland|Research Site, Warszawa, Poland|Research Site, Braga, Portugal|Research Site, Lisboa, Portugal|Research Site, Lisboa, Portugal|Research Site, Lisbon, Portugal|Research Site, Porto, Portugal|Research Site, Vila Nova de Gaia, Portugal|Research Site, Ekaterinburg, Russian Federation|Research Site, Krasnoyarsk, Russian Federation|Research Site, Nizhniy Novgorod, Russian Federation|Research Site, Novosibirsk, Russian Federation|Research Site, Saint Petersburg, Russian Federation|Research Site, St. Petersburg, Russian Federation|Research Site, Ufa, Russian Federation|Research Site, Belgrad, Serbia|Research Site, Nis, Serbia|Research Site, Barcelona, Spain|Research Site, Barcelona, Spain|Research Site, Barcelona, Spain|Research Site, Barcelona, Spain|Research Site, Barcelona, Spain|Research Site, L'Hospitalet de Llobregat, Spain|Research Site, Las Palmas de Gran Canaria, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Pamplona, Spain|Research Site, Santander, Spain|Research Site, Sevilla, Spain|Research Site, Taichung, Taiwan|Research Site, Tainan, Taiwan|Research Site, Tainan, Taiwan|Research Site, Taipei, Taiwan|Research Site, Bangkok, Thailand|Research Site, Dusit, Thailand|Research Site, Songkhla, Thailand|Research Site, Adana, Turkey|Research Site, Ankara, Turkey|Research Site, Ankara, Turkey|Research Site, Ankara, Turkey|Research Site, Ankara, Turkey|Research Site, Istanbul, Turkey|Research Site, Istanbul, Turkey|Research Site, Karsiyaka, Turkey|Research Site, Malatya, Turkey|Research Site, Dnipropetrovsk, Ukraine|Research Site, Dnipro, Ukraine|Research Site, Kharkiv Region, Ukraine|Research Site, Kiev, Ukraine|Research Site, Blackburn, United Kingdom|Research Site, Bristol, United Kingdom|Research Site, Gillingham, United Kingdom|Research Site, London, United Kingdom|Research Site, London, United Kingdom|Research Site, Wirral, United Kingdom|Research Site, Ha Noi, Vietnam|Research Site, Ho Chi Minh City, Vietnam|Research Site, Ho Chi Minh city, Vietnam",60.98159523,54.8834357,All,"18 Years and older   (Adult, Older Adult)",152,149,143,47,89,7,12/26/2023,7/17/2024,5/22/2024,6/17/2024,5/5/2024,5/30/2024,6/8/2024,6/11/2024,6/30/2024,11/27/2024,9/26/2024,3/6/2025,7/10/2025,8/24/2025,10/10/2025,12/1/2025,1/26/2026,3/11/2026,4/13/2026,11/26/2024,5/25/2025,11/21/2025,5/20/2026,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT04960709,,,,,,
AstraZeneca,AstraZeneca,ST00256,SP00003,A Study to Assess the Effect of Capivasertib on Midazolam in Patients With Advanced Solid Tumours,,,Solid Tumour,,,,,,,,Industry,Recruiting,Phase 1,Interventional,,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,,,,,,Drug G,,,,,,,,,,,,,,,,,,,Chetan K,Naren G,Chetan K,Mee M,Anthony P,Jene M,Suk T,Gertrudis T,Tamesha T,Gertrudis T,Garnet T,Christian G,Garnet T,Lyman W,Livia Pacheo �,Naren G,Beulah N,Xochitl D,Doreen T,,,"Research Site, West Hollywood, California, United States|Research Site, Baltimore, Maryland, United States|Research Site, Jackson, Mississippi, United States|Research Site, Jackson, Mississippi, United States|Research Site, Durham, North Carolina, United States|Research Site, Cincinnati, Ohio, United States|Research Site, Dallas, Texas, United States",63.75401832,57.37861649,All,"18 Years to 75 Years   (Adult, Older Adult)",153,151,144,80,55,9,2/25/2019,9/22/2019,8/13/2019,8/28/2019,8/10/2019,8/19/2019,8/31/2019,9/3/2019,9/22/2019,6/7/2022,4/12/2022,8/29/2022,1/19/2023,3/18/2023,5/8/2023,6/27/2023,8/3/2023,10/1/2023,11/2/2023,2/15/2020,8/13/2020,2/9/2021,8/8/2021,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT04958226,,,,,,
AstraZeneca,AstraZeneca,ST00285,SP00003,"Patterns of Care in Hormone-receptor Positive, Advanced Breast Cancer",,,,,Oncology,,,,,,Industry,Terminated,,Observational,,Observational Model: Case-Only|Time Perspective: Prospective,,,,,,Drug D,,,,,,,,,,,,,,,,,,,John G,James y,Livia Pacheo �,Mary H,Anthony P,Frank T,James y,Terisa Sikora �,Chetan K,Remedios Z,Xochitl D,Suzie K,Selizabeth F,Tamesha T,Mara A,Otis Thode �,Selizabeth F,Otis Thode �,Mary H,,,"Research Site, Rio de Janeiro, RJ, Brazil|Research Site, Porto Alegre, RS, Brazil|Research Site, Sao Paulo, SP, Brazil|Research Site, Belo Horizonte, Brazil|Research Site, Mogi das Cruzes, Brazil|Research Site, Ribeirao Preto, Brazil",7.665976421,6.899378779,Female,"18 Years and older   (Adult, Older Adult)",152,147,145,98,30,17,2/10/2008,9/18/2008,7/5/2008,8/6/2008,7/9/2008,7/20/2008,7/25/2008,7/27/2008,8/19/2008,3/10/2012,5/5/2012,8/1/2012,12/1/2012,1/11/2013,2/11/2013,4/7/2013,5/7/2013,6/27/2013,8/3/2013,1/16/2009,7/15/2009,1/11/2010,7/10/2010,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT01277926,,,,,,
AstraZeneca,AstraZeneca,ST00286,SP00003,"A Phase I, Open-Label, 2 Part Multicentre Study to Assess the Safety and Efficacy of Olaparib in Combination With Carboplatin in Patients With Advanced HER-2 Negative Breast Cancer",,,,,Oncology,,,,,,Industry,Terminated,Phase 1,Interventional,,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,,,,,,Drug A,,,,,,,,,,,,,,,,,,,Mary H,Naren G,Clarice N,Terrell p,Selizabeth F,Stephan T,Christian G,Mara A,Mac L,Selizabeth F,Corrine U,Dalton E,Xochitl D,Selizabeth F,John G,Suzie K,Doreen T,Mara A,Louann C,,,"Research Site, New York, New York, United States|Research Site, Stony Brook, New York, United States|Research Site, Barcelona, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Valencia, Spain|Research Site, Zaragoza, Spain",6.097464708,5.487718237,All,"18 Years to 90 Years   (Adult, Older Adult)",154,150,146,77,54,15,1/21/2014,8/19/2014,6/19/2014,7/15/2014,6/29/2014,7/5/2014,7/8/2014,7/12/2014,8/5/2014,8/19/2016,1/6/2016,8/21/2016,9/30/2016,10/30/2016,12/11/2016,1/14/2017,3/8/2017,4/22/2017,6/9/2017,1/1/2015,6/30/2015,12/27/2015,6/24/2016,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT02561832,,,,,,
AstraZeneca,AstraZeneca,ST00288,SP00003,Comparing the Efficacy and Tolerability of Fulvestrant 500 mg Versus 250 mg in Advanced Breast Cancer Women,,,,,Oncology,,,,,,Industry,Completed,Phase 3,Interventional,,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",,,,,,Drug C,,,,,,,,,,,,,,,,,,,Suk T,Perter K,Stephan T,Tiffiny K,Mary H,Xochitl D,Mary H,Mee M,Dalton E,Federico L,Dalton E,John G,Tamesha T,Remedios Z,Frank T,Mara A,Anthony P,Kandace p,Dalton E,,,"Research Site, Beijing, China|Research Site, Chongqing, China|Research Site, Dalian, China|Research Site, Guangzhou, China|Research Site, Hangzhou, China|Research Site, Harbin, China|Research Site, Hefei, China|Research Site, Jiangsu, China|Research Site, Kunming, China|Research Site, Nanning, China|Research Site, Shandong, China|Research Site, Shanghai, China|Research Site, Shijiazhuang, China|Research Site, Taiyuan, China|Research Site, Tianjin, China",57.22670948,51.50403853,Female,"18 Years to 90 Years   (Adult, Older Adult)",153,150,147,145,20,18,4/13/2012,10/23/2012,8/18/2012,9/15/2012,8/26/2012,9/5/2012,9/13/2012,9/17/2012,10/8/2012,3/2/2013,6/7/2013,10/19/2013,3/1/2014,4/4/2014,6/1/2014,7/1/2014,8/15/2014,10/7/2014,11/26/2014,3/4/2013,8/31/2013,2/27/2014,8/26/2014,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT01300351,,,,,,
AstraZeneca,AstraZeneca,ST00290,SP00003,"Study to Assess Prevalence of BRCA1 and BRCA2 Mutation Among Ovarian, Primary Peritoneal and Fallopian Tube Cancer Patients in India",,,,,Oncology,,,,,,Industry,Completed,,Observational,,Observational Model: Cohort|Time Perspective: Cross-Sectional,,,,,,Drug E,,,,,,,,,,,,,,,,,,,Doreen T,Donovan H,Aleta H,Suzie K,Otis Thode �,John G,Lavina S,Lucie P,Terrell p,Terrell p,Garnet T,Quentin N,Tien C,Doreen T,Ngan D,In Bellini �,Kala R,Jerold Goo �,Donovan H,,,"Research Site, Bangalore, Karnataka, India|Research Site, Mumbai, Maharashtra, India|Research Site, Mumbai, Maharashtra, India|Research Site, Delhi, New Delhi, India|Research Site, Delhi, New Delhi, India|Research Site, Delhi, New Delhi, India|Research Site, Hyderabad, Telangana, India|Research Site, Kolkata, West Bengal, India",38.64604617,34.78144155,Female,"18 Years and older   (Adult, Older Adult)",157,153,148,71,64,13,11/22/2016,5/11/2017,3/17/2017,4/17/2017,3/27/2017,3/30/2017,4/13/2017,4/17/2017,4/28/2017,4/24/2018,4/9/2018,11/16/2018,12/21/2018,1/31/2019,3/27/2019,5/14/2019,6/29/2019,8/16/2019,9/25/2019,9/26/2017,3/25/2018,9/21/2018,3/20/2019,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT03471572,,,,,,
AstraZeneca,AstraZeneca,ST00292,SP00003,Prospective Multicentre Phase-IV Clinical Trial of Olaparib in Indian Patients With Ovarian and Metastatic Breast Cancer,,,,,Oncology,,,,,,Industry,Recruiting,Phase 4,Interventional,,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,,,,,,Drug G,,,,,,,,,,,,,,,,,,,Jerold Goo �,James y,Perter K,Lucie P,Perter K,Remedios Z,Jeanene Y,Doreen T,Naren G,Geralyn K,John G,Rima Y ,Clarice N,Jaquelyn H,Geralyn K,Kala R,Suzie K,John G,Beulah N,,,"Research Site, Guwahati, Assam, India|Research Site, New Delhi, Delhi, India|Research Site, New Delhi, Delhi, India|Research Site, New Delhi, Delhi, India|Research Site, New Delhi, Delhi, India|Research Site, Ahmedabad, Gujarat, India|Research Site, Ernamkulam, Kerala, India|Research Site, Mumbai, Maharashtra, India|Research Site, Mumbai, Maharashtra, India|Research Site, Bhubaneshwar, Orissa, India|Research Site, Chandigarh, Punjab, India|Research Site, Vellore, Tamil Nadu, India|Research Site, Kolkata, West Bengal, India|Research Site, Kolkata, West Bengal, India",81.79084416,73.61175974,Female,"18 Years and older   (Adult, Older Adult)",158,154,149,119,14,16,8/23/2020,1/24/2021,11/21/2020,12/25/2020,12/11/2020,12/15/2020,12/28/2020,12/30/2020,1/23/2021,11/13/2021,11/10/2021,3/3/2022,7/31/2022,9/27/2022,11/13/2022,12/24/2022,2/2/2023,3/29/2023,5/19/2023,6/13/2021,12/10/2021,6/8/2022,12/5/2022,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT04330040,,,,,,
AstraZeneca,AstraZeneca,ST00293,SP00003,Reasons for Changing HOrmonal Therapy of Advanced Breast Cancer,,,,,Oncology,,,,,,Industry,Completed,,Observational,,Observational Model: Case-Only|Time Perspective: Retrospective,,,,,,Drug B,,,,,,,,,,,,,,,,,,,Tien C,Mee M,Jeanene Y,Lilla Stilson �,Selizabeth F,Patria R,Donovan H,Suzie K,Garnet T,Mary H,Hee Y,In Bellini �,Naren G,Clarice N,Ngan D,Patria R,Gertrudis T,Tiffiny K,John G,,,"Research Site, Benesov u Prahy, Czech Republic|Research Site, Brno, Czech Republic|Research Site, Ceske Budejovice, Czech Republic|Research Site, Cesky Krumlov, Czech Republic|Research Site, Cheb, Czech Republic|Research Site, Chomutov, Czech Republic|Research Site, Havlickuv Brod, Czech Republic|Research Site, Hradec Kralove, Czech Republic|Research Site, Jablonec nad Nisou, Czech Republic|Research Site, Jicin, Czech Republic|Research Site, Jihlava, Czech Republic|Research Site, Karvina, Czech Republic|Research Site, Kladno, Czech Republic|Research Site, Kolin, Czech Republic|Research Site, Liberec, Czech Republic|Research Site, Most, Czech Republic|Research Site, Nachod, Czech Republic|Research Site, Novy Jicin, Czech Republic|Research Site, Olomouc, Czech Republic|Research Site, Opava, Czech Republic|Research Site, Ostrava - Fifejdy, Czech Republic|Research Site, Ostrava - Vitkovice, Czech Republic|Research Site, Ostrava, Czech Republic|Research Site, Pardubice, Czech Republic|Research Site, Pisek, Czech Republic|Research Site, Plzen, Czech Republic|Research Site, Praha, Czech Republic|Research Site, Prerov, Czech Republic|Research Site, Prostejov, Czech Republic|Research Site, Rakovnik, Czech Republic|Research Site, Sokolov, Czech Republic|Research Site, Strakonice, Czech Republic|Research Site, Sumperk, Czech Republic|Research Site, Tabor, Czech Republic|Research Site, Usti nad Labem, Czech Republic|Research Site, Zlin, Czech Republic|Research Site, Znojmo, Czech Republic",84.11235244,75.70111719,Female,"18 Years and older   (Adult, Older Adult)",169,161,150,68,73,9,12/31/2007,5/23/2008,3/24/2008,4/16/2008,3/24/2008,4/9/2008,4/21/2008,4/26/2008,5/26/2008,2/9/2011,4/7/2011,6/21/2011,11/1/2011,12/6/2011,1/21/2012,3/17/2012,5/2/2012,6/3/2012,7/13/2012,10/6/2008,4/4/2009,10/1/2009,3/30/2010,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT01265654,,,,,,
AstraZeneca,AstraZeneca,ST00295,SP00003,Assessment of Endometrial Changes in Postmenopausal Women With Breast Cancer in Adjuvant Treatment With Anastrozole,,,,,Oncology,,,,,,Industry,Completed,,Observational,,Time Perspective: Prospective,,,,,,Drug B,,,,,,,,,,,,,,,,,,,Dalton E,In Bellini �,Perter K,Suk T,James y,Lucie P,Naren G,John G,Selizabeth F,Terrell p,Perter K,Livia Pacheo �,Perter K,Jerold Goo �,Perter K,Louann C,Aleta H,Hee Y,Jaquelyn H,,,"Research Site, Coruña, Spain|Research Site, Granada, Spain|Research Site, Huelva, Spain|Research Site, Ibiza, Spain|Research Site, Jerez, Spain|Research Site, La Rioja, Spain|Research Site, Lugo, Spain|Research Site, Malaga, Spain|Research Site, Mallorca, Spain|Research Site, Pontevedra, Spain|Research Site, Santander, Spain|Research Site, Sevilla, Spain",58.01259771,52.21133794,Female,"18 Years to 75 Years   (Adult, Older Adult)",162,160,151,47,95,9,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,2/9/1900,3/19/1900,4/26/1900,6/14/1900,7/28/1900,9/25/1900,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,,,,,,,,,,,,,,,,https://ClinicalTrials.gov/show/NCT00623519,,,,,,
